                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.93591,                 0.6273,                0.86488,                0.88917,                0.73401,                0.76695,                 0.4998,                0.77138,                0.61899,                0.87946,             0.00069313,             0.00069313,             0.00069313
                     47,                0.87848,                0.60296,                0.85724,                0.91004,                0.73278,                0.76614,                0.51248,                0.79958,                0.60873,                0.87882,             0.00068075,             0.00068075,             0.00068075
                     48,                0.92692,                0.62553,                0.86664,                0.87087,                 0.7364,                0.76288,                0.51609,                0.74373,                0.59436,                0.87886,             0.00066838,             0.00066838,             0.00066838
                     49,                0.88173,                0.60804,                0.85696,                0.89818,                0.74481,                0.77999,                0.50729,                0.78736,                0.61054,                0.87803,               0.000656,               0.000656,               0.000656
                     50,                0.90931,                0.61865,                0.86665,                0.84013,                0.74154,                0.77133,                0.50514,                 0.7876,                 0.5978,                0.87963,             0.00064362,             0.00064362,             0.00064362
                     51,                0.96072,                0.62245,                0.87278,                0.87739,                0.71987,                0.75357,                0.49625,                0.86471,                0.62779,                0.88141,             0.00063125,             0.00063125,             0.00063125
                     52,                0.94897,                0.60314,                0.86505,                0.87512,                0.72852,                0.75927,                0.51034,                 0.7548,                0.59573,                0.88114,             0.00061887,             0.00061887,             0.00061887
                     53,                 0.9153,                0.59777,                0.86548,                  0.815,                 0.7397,                0.73281,                0.50228,                0.79389,                0.59646,                0.88117,              0.0006065,              0.0006065,              0.0006065
                     54,                0.88934,                 0.6379,                0.87374,                0.84887,                0.74907,                0.75696,                0.51005,                0.79188,                0.61612,                0.88182,             0.00059413,             0.00059413,             0.00059413
                     55,                0.89008,                0.59936,                0.86682,                0.83394,                0.76058,                0.76848,                 0.5227,                0.83619,                0.60671,                 0.8775,             0.00058175,             0.00058175,             0.00058175
                     56,                0.91296,                0.60563,                0.87843,                0.83545,                0.75551,                0.76261,                0.52937,                 0.7655,                0.59587,                0.87831,             0.00056938,             0.00056938,             0.00056938
                     57,                0.87144,                0.58319,                 0.8579,                0.84176,                0.71179,                0.76185,                 0.5137,                0.79791,                0.59211,                0.87514,               0.000557,               0.000557,               0.000557
                     58,                0.94504,                0.59303,                0.85085,                0.82916,                0.75647,                0.76839,                0.52739,                0.75036,                0.57969,                0.87808,             0.00054463,             0.00054463,             0.00054463
                     59,                0.89697,                0.59041,                0.86158,                0.83696,                0.76255,                0.76955,                 0.5201,                0.74583,                0.57555,                0.87521,             0.00053225,             0.00053225,             0.00053225
                     60,                0.87071,                0.61035,                0.86691,                0.81053,                0.76568,                0.77338,                0.52986,                0.77958,                0.58936,                0.87364,             0.00051988,             0.00051988,             0.00051988
                     61,                0.85601,                 0.5774,                0.85223,                0.81665,                0.75893,                0.77275,                 0.5452,                0.75199,                0.57071,                0.87311,              0.0005075,              0.0005075,              0.0005075
                     62,                0.89828,                0.58738,                0.85472,                0.83982,                0.74393,                0.77403,                0.54079,                0.77287,                0.59139,                0.87354,             0.00049513,             0.00049513,             0.00049513
                     63,                0.83996,                0.57423,                0.85724,                0.82992,                0.75258,                0.77876,                 0.5381,                0.74655,                0.56415,                0.87133,             0.00048275,             0.00048275,             0.00048275
                     64,                0.84592,                 0.5604,                0.84763,                 0.8197,                  0.758,                0.77868,                0.52432,                0.74154,                0.56792,                0.87098,             0.00047038,             0.00047038,             0.00047038
