                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                  0.844,                0.56476,                0.85746,                0.79434,                0.76475,                0.76205,                 0.5476,                0.77315,                0.55941,                0.87026,               0.000359,               0.000359,               0.000359
                     74,                0.82659,                0.55854,                 0.8435,                0.79427,                0.75078,                0.76785,                0.55043,                0.74543,                0.55527,                0.86968,             0.00034663,             0.00034663,             0.00034663
                     75,                0.81881,                0.54769,                0.85302,                0.78334,                  0.789,                0.77745,                0.53572,                0.81249,                0.56388,                0.87289,             0.00033425,             0.00033425,             0.00033425
                     76,                 0.8464,                0.56274,                0.85276,                0.81252,                0.77825,                0.77562,                0.54168,                0.73037,                0.54707,                0.86868,             0.00032188,             0.00032188,             0.00032188
                     77,                0.81454,                0.54664,                 0.8505,                0.82211,                0.78179,                0.77314,                0.54466,                0.75447,                0.55126,                0.86753,              0.0003095,              0.0003095,              0.0003095
                     78,                0.82068,                0.55083,                0.85057,                0.83482,                0.78595,                0.77911,                0.54644,                0.73705,                0.54486,                0.86706,             0.00029713,             0.00029713,             0.00029713
                     79,                0.79724,                0.55132,                0.84686,                0.84206,                0.78546,                0.78359,                0.54173,                0.75266,                0.54998,                0.86806,             0.00028475,             0.00028475,             0.00028475
                     80,                0.83852,                0.57059,                0.85678,                0.82994,                0.76417,                0.77961,                0.54285,                0.74546,                0.54793,                 0.8656,             0.00027237,             0.00027237,             0.00027237
                     81,                0.83115,                0.54576,                0.85171,                0.83109,                0.76875,                0.77898,                0.53461,                0.73241,                0.54985,                0.86755,                0.00026,                0.00026,                0.00026
                     82,                0.81457,                0.54929,                0.85354,                0.82786,                0.75701,                0.76761,                0.54017,                0.75479,                0.54663,                0.86651,             0.00024762,             0.00024762,             0.00024762
                     83,                0.78078,                0.53402,                0.84613,                0.81971,                 0.7568,                 0.7716,                0.53936,                0.71476,                0.53982,                 0.8633,             0.00023525,             0.00023525,             0.00023525
                     84,                0.82433,                0.55955,                0.85823,                0.78879,                 0.7647,                0.77417,                0.53783,                0.75877,                0.54072,                 0.8637,             0.00022288,             0.00022288,             0.00022288
                     85,                0.79709,                0.53624,                0.84614,                  0.857,                0.73658,                0.77083,                0.55266,                0.73388,                 0.5422,                0.86291,              0.0002105,              0.0002105,              0.0002105
                     86,                0.83061,                0.54175,                0.85403,                0.80929,                0.75834,                0.77199,                0.54733,                0.71357,                0.53761,                0.86169,             0.00019813,             0.00019813,             0.00019813
                     87,                0.78947,                0.53316,                0.83578,                0.81336,                0.76833,                0.76854,                0.54196,                0.75654,                 0.5425,                0.86282,             0.00018575,             0.00018575,             0.00018575
                     88,                0.78262,                 0.5301,                0.83941,                0.80402,                0.76857,                0.77112,                0.55209,                0.70694,                0.52923,                 0.8611,             0.00017338,             0.00017338,             0.00017338
                     89,                0.80615,                0.53296,                0.86001,                0.80281,                0.77362,                 0.7776,                0.55687,                0.69842,                0.52861,                0.86215,               0.000161,               0.000161,               0.000161
                     90,                0.76827,                0.52964,                0.84266,                0.86384,                0.75142,                0.78361,                0.55836,                0.70741,                0.52507,                0.86249,             0.00014862,             0.00014862,             0.00014862
                     91,                0.72668,                0.53686,                0.84373,                0.84757,                0.74891,                0.78466,                0.55432,                 0.7198,                0.52904,                0.86264,             0.00013625,             0.00013625,             0.00013625
                     92,                0.72237,                0.54755,                0.84393,                0.83544,                0.74169,                0.77474,                0.55482,                 0.7114,                0.54792,                0.86231,             0.00012387,             0.00012387,             0.00012387
                     93,                0.69823,                0.51794,                0.84031,                0.86741,                0.74077,                  0.775,                0.55069,                0.70151,                0.54338,                 0.8608,              0.0001115,              0.0001115,              0.0001115
                     94,                0.69189,                0.50419,                0.83855,                0.86492,                0.74469,                0.77594,                0.54911,                0.72418,                0.54668,                 0.8608,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.69929,                 0.5081,                0.84059,                0.86107,                0.74214,                0.77562,                0.54231,                0.71902,                0.53975,                0.86079,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.7103,                0.51567,                0.84174,                0.87077,                0.73409,                0.76794,                0.53457,                0.70788,                0.53814,                0.86085,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 0.6855,                0.50409,                0.83864,                0.86207,                0.74132,                0.76826,                0.53439,                 0.7072,                 0.5361,                0.86112,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.67153,                0.49174,                0.83487,                0.88785,                0.73426,                0.76962,                0.53963,                0.70674,                0.53606,                0.86147,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.67463,                0.49087,                0.84182,                0.88246,                0.72925,                0.76364,                0.53413,                0.71256,                0.53609,                0.86221,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.67862,                0.49584,                0.84543,                0.88904,                0.72987,                0.76501,                0.54054,                0.70786,                0.53574,                0.86178,             2.4875e-05,             2.4875e-05,             2.4875e-05
