                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.71767,                0.55207,                 1.9514,                0.92848,                0.83587,                0.84984,                 0.6204,                0.67716,                0.52671,                 1.8515,             0.00054463,             0.00054463,             0.00054463
                     59,                 0.6886,                0.54429,                 1.9803,                0.94177,                0.83122,                0.85028,                0.62623,                0.63676,                0.52288,                 1.8516,             0.00053225,             0.00053225,             0.00053225
                     60,                0.69805,                0.54092,                 1.9546,                0.94193,                0.82925,                0.84981,                0.63331,                0.61666,                0.50207,                 1.8632,             0.00051988,             0.00051988,             0.00051988
                     61,                0.69297,                0.54177,                  1.949,                0.93934,                0.83089,                0.85151,                0.62891,                0.63121,                0.51415,                  1.841,              0.0005075,              0.0005075,              0.0005075
                     62,                0.67157,                0.53651,                 1.9519,                0.94234,                0.83102,                0.84974,                0.62754,                0.61118,                0.50133,                 1.8488,             0.00049513,             0.00049513,             0.00049513
                     63,                0.68357,                0.53525,                 1.9603,                0.93056,                0.81642,                0.84856,                0.62154,                0.61746,                0.50733,                 1.8651,             0.00048275,             0.00048275,             0.00048275
                     64,                0.68262,                0.53627,                 1.9473,                  0.908,                0.82245,                0.84435,                0.61771,                0.64036,                 0.5177,                 1.8512,             0.00047038,             0.00047038,             0.00047038
                     65,                0.69193,                0.53797,                 1.9664,                0.92292,                0.83726,                0.85045,                0.62236,                0.62457,                0.50697,                 1.8543,               0.000458,               0.000458,               0.000458
                     66,                0.67113,                 0.5314,                 2.0014,                0.90605,                0.84561,                0.85229,                0.62638,                0.63728,                0.51309,                 1.8635,             0.00044563,             0.00044563,             0.00044563
                     67,                0.67139,                0.52415,                  1.958,                 0.9099,                0.84317,                0.86076,                0.63104,                0.63353,                0.50273,                 1.8448,             0.00043325,             0.00043325,             0.00043325
                     68,                0.67016,                0.52578,                  1.966,                0.94109,                0.83139,                0.86098,                0.63881,                0.60765,                0.49752,                 1.8622,             0.00042087,             0.00042087,             0.00042087
                     69,                0.67985,                0.51534,                 1.9656,                0.93342,                0.83219,                0.85954,                0.64157,                0.61063,                0.49363,                 1.8599,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.6739,                0.52428,                 1.9682,                0.93522,                 0.8346,                0.86028,                0.63831,                0.62258,                0.48885,                 1.8479,             0.00039613,             0.00039613,             0.00039613
                     71,                 0.6825,                0.51744,                  1.972,                0.92779,                0.83835,                0.85618,                0.63615,                0.59786,                0.49141,                 1.8659,             0.00038375,             0.00038375,             0.00038375
                     72,                0.64713,                0.50366,                 1.9422,                0.92025,                0.84232,                0.85539,                0.62785,                0.64755,                0.50155,                 1.8436,             0.00037138,             0.00037138,             0.00037138
                     73,                0.66247,                0.50949,                 1.9282,                0.93466,                0.83608,                0.85919,                0.63081,                0.60856,                0.49235,                 1.8598,               0.000359,               0.000359,               0.000359
                     74,                0.66036,                0.51082,                 1.9475,                0.93194,                0.83219,                0.85648,                0.63146,                0.64657,                0.49452,                 1.8357,             0.00034663,             0.00034663,             0.00034663
                     75,                0.66248,                0.51959,                 1.9433,                0.92964,                0.83576,                0.85843,                0.62776,                0.60697,                0.48624,                 1.8451,             0.00033425,             0.00033425,             0.00033425
                     76,                0.66009,                0.50847,                  1.962,                0.93372,                0.82493,                 0.8555,                0.63092,                0.61954,                0.48538,                 1.8422,             0.00032188,             0.00032188,             0.00032188
                     77,                0.64787,                0.50845,                 1.9498,                 0.9326,                0.83318,                0.85558,                0.63825,                0.61997,                 0.4835,                 1.8389,              0.0003095,              0.0003095,              0.0003095
                     78,                0.64415,                0.50734,                 1.9725,                 0.9032,                0.82714,                   0.85,                0.63139,                0.60046,                0.48058,                 1.8461,             0.00029713,             0.00029713,             0.00029713
                     79,                0.65848,                0.50486,                 1.9043,                  0.925,                0.81297,                0.84797,                0.63081,                0.62508,                0.48859,                 1.8406,             0.00028475,             0.00028475,             0.00028475
                     80,                0.63091,                0.49934,                 1.9588,                0.91739,                0.83107,                0.85258,                0.63466,                0.61111,                0.47702,                 1.8407,             0.00027237,             0.00027237,             0.00027237
                     81,                0.66171,                0.49984,                 1.9254,                0.94099,                0.80244,                 0.8519,                0.63399,                0.63248,                0.48416,                 1.8424,                0.00026,                0.00026,                0.00026
                     82,                0.64916,                0.49918,                 1.9191,                 0.9399,                0.80838,                0.86066,                0.64225,                0.60029,                0.47852,                  1.837,             0.00024762,             0.00024762,             0.00024762
                     83,                0.67656,                0.51269,                  1.885,                0.91915,                0.82558,                0.85705,                0.63217,                0.65356,                 0.4927,                 1.8353,             0.00023525,             0.00023525,             0.00023525
                     84,                0.62163,                0.48791,                 1.9473,                0.95078,                0.78863,                0.85496,                0.63632,                0.59578,                0.47873,                 1.8435,             0.00022288,             0.00022288,             0.00022288
